Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-medikation.json	27150	-	0	0	1	0	0	0	18	192	0	0	0	0	0	0	0	1	0	0	23	204	446	0	0	0	6	0	4
fsh-generated/resources/CapabilityStatement-mii-cps-medikation-capabilitystatement.json	59560	17	0	0	2	0	0	0	6	86	0	0	0	0	0	0	0	0	0	0	15	173	167	0	1	0	9	0	1
fsh-generated/resources/CodeSystem-mii-cs-medikation-pzn-sales-status-code.json	2776	3	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	14	19	142	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-medikation-wirkstofftyp.json	3554	3	0	0	0	0	0	0	1	6	0	0	1	1	0	0	0	0	0	0	7	14	97	0	0	0	0	0	1
fsh-generated/resources/List-mii-exa-medikation-list-admission.json	1455	2	0	0	0	0	0	0	0	3168	0	4	0	0	0	0	0	0	0	0	6	13	50	0	0	0	0	0	0
fsh-generated/resources/List-mii-exa-medikation-medikationsliste-aktuelle-therapie.json	988	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	8	30	0	0	0	0	0	0
fsh-generated/resources/List-mii-exa-medikation-medikationsliste-aufnahmemedikation.json	976	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	9	24	0	0	0	0	0	0
fsh-generated/resources/Medication-mii-exa-medikation-medication-ass-100.json	1923	2	0	0	0	0	0	0	1	1274	0	1	0	0	0	0	0	1	0	0	6	13	20	0	0	0	0	0	0
fsh-generated/resources/Medication-mii-exa-medikation-medication-caelyx.json	1811	2	0	0	0	0	0	0	0	1303	0	0	0	0	0	0	0	0	0	0	6	10	16	0	0	0	0	0	0
fsh-generated/resources/Medication-mii-exa-medikation-medication-calcium.json	6832	3	0	0	0	0	0	0	1	3773	0	0	0	0	0	0	0	0	0	0	5	21	21	0	0	0	0	0	0
fsh-generated/resources/Medication-mii-exa-medikation-medication-dolomo-nacht.json	4336	2	0	0	0	0	0	0	0	5072	0	0	0	0	0	0	0	0	0	0	5	15	22	0	0	0	0	0	0
fsh-generated/resources/Medication-mii-exa-medikation-medication-dolomo-tag.json	4315	3	0	0	0	0	0	0	1	5040	0	0	0	0	0	0	0	0	0	0	4	16	17	0	0	0	0	0	0
fsh-generated/resources/Medication-mii-exa-medikation-medication-dolomo.json	1837	2	0	0	0	0	0	0	0	1267	0	0	0	0	0	0	0	0	0	0	3	11	22	0	0	0	0	0	0
fsh-generated/resources/Medication-mii-exa-medikation-medication-glucoseloesung.json	2548	2	0	0	0	0	0	0	1	1243	0	0	0	0	0	0	0	0	0	0	3	12	24	0	0	0	0	0	0
fsh-generated/resources/Medication-mii-exa-medikation-medication-propofol.json	1489	1	0	0	0	0	0	0	0	1274	0	0	0	0	0	0	0	0	0	0	3	10	19	0	0	0	0	0	0
fsh-generated/resources/Medication-mii-exa-medikation-medication-rezeptur.json	1588	2	0	0	0	0	0	0	0	1277	0	0	0	0	0	0	0	0	0	0	2	10	16	0	0	0	0	0	0
fsh-generated/resources/Medication-mii-exa-medikation-medication-thiotepa.json	1338	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	8	11	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-mii-exa-medikation-medication-administration.json	1412	2	0	0	0	0	0	0	0	1880	0	0	0	0	0	0	0	0	0	0	2	11	32	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-mii-exa-medikation-medication-request-caelyx.json	1589	2	0	0	0	0	0	0	1	633	0	0	0	0	0	0	0	0	0	0	2	10	38	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-mii-exa-medikation-medication-statement-caelyx.json	1282	1	0	0	0	0	0	0	0	612	0	0	0	0	0	0	0	0	0	0	3	10	34	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-mii-exa-medikation-medication-statement-concor.json	2521	2	0	0	0	0	0	0	1	2554	0	0	0	0	0	0	0	0	0	0	2	12	27	0	0	0	0	0	1
fsh-generated/resources/MedicationStatement-mii-exa-medikation-medication-statement-hct.json	1469	2	0	0	0	0	0	0	0	1032	0	0	0	0	0	0	0	0	0	0	2	12	23	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-mii-exa-medikation-medication-statement-ibuprofen.json	1333	2	0	0	0	0	0	0	0	642	0	0	0	0	0	0	0	0	0	0	3	10	23	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-mii-exa-medikation-medication-statement-intravenous-use.json	1527	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	10	28	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-mii-exa-medikation-medication-statement-offset.json	1467	2	0	0	0	0	0	0	0	633	0	0	0	0	0	0	0	0	0	0	4	10	18	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-mii-exa-medikation-medication-statement-periodisches-intervall.json	1540	2	0	0	0	0	0	0	1	634	0	0	0	0	0	0	0	0	0	0	2	9	22	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-mii-exa-medikation-medication-statement-zopiclon.json	2526	2	0	0	0	0	0	0	0	2524	0	0	0	0	0	0	0	0	0	0	2	13	27	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-mii-exa-medikation-medication-statement.json	1283	1	0	0	0	0	0	0	0	631	0	0	0	0	0	0	0	1	0	0	3	9	24	0	0	0	0	0	0
fsh-generated/resources/Procedure-mii-exa-medikation-procedure-thiotepa.json	889	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	3	7	20	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mii-ex-medikation-wirkstoffrelation.json	4891	3	0	31	0	0	0	0	0	447	0	0	0	0	0	0	0	0	0	0	1	114	823	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-mii-ex-medikation-wirkstofftyp.json	3959	3	0	22	0	0	0	0	0	20	0	0	1	0	0	0	0	1	0	0	1	78	389	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-mii-lm-medikation.json	79385	17	0	180	1	0	0	0	0	188	0	0	0	0	0	0	0	3	0	0	12	991	1923	0	0	0	38	0	2
fsh-generated/resources/StructureDefinition-mii-pr-medikation-medication-administration.json	68059	17	0	215	0	0	0	0	0	783	0	0	1	0	0	0	0	3	0	0	2	855	2291	0	0	0	35	0	3
fsh-generated/resources/StructureDefinition-mii-pr-medikation-medication-request.json	87060	24	0	336	0	0	0	0	1	179	0	0	1	0	0	0	0	5	0	0	2	1653	3001	0	0	0	62	0	5
fsh-generated/resources/StructureDefinition-mii-pr-medikation-medication-statement.json	93979	25	0	293	0	0	0	0	0	156	0	0	1	0	0	0	0	5	0	0	26	1588	2162	0	0	0	54	1	4
fsh-generated/resources/StructureDefinition-mii-pr-medikation-medication.json	24815	9	0	132	0	0	0	0	0	57	0	0	1	0	0	0	0	2	0	0	3	565	1071	0	0	0	21	0	1
fsh-generated/resources/StructureDefinition-mii-pr-medikation-medikationsliste.json	23034	8	0	72	0	0	0	0	1	32	0	0	0	0	0	0	0	1	0	0	1	274	455	0	0	0	10	0	0
fsh-generated/resources/ValueSet-mii-vs-medikation-ask.json	1426	1	0	0	0	0	0	0	0	449	0	0	0	0	0	0	0	0	0	0	9	8	930	0	0	0	1	0	0
fsh-generated/resources/ValueSet-mii-vs-medikation-atc.json	2287	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	5	13	4461	0	0	0	1	0	1
fsh-generated/resources/ValueSet-mii-vs-medikation-fallkontext.json	1888	1	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	5	13	84	0	0	0	0	0	0
fsh-generated/resources/ValueSet-mii-vs-medikation-pzn-sales-status-code.json	1674	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	12	82	0	0	0	1	0	0
fsh-generated/resources/ValueSet-mii-vs-medikation-unii.json	1367	1	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	4	8	718	0	0	0	0	0	0
fsh-generated/resources/ValueSet-mii-vs-medikation-wirkstofftyp.json	2715	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	10	82	0	0	0	0	0	0
input/resources/Parameters-expansion-manifest.json	515	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	28	454	0	0	0	0	0	0
/input/includes/menu.xml	5301	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	4341	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/intro-notes/StructureDefinition-mii-pr-medikation-medication-statement-intro.md	1870	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/intro-notes/StructureDefinition-mii-ex-medikation-wirkstofftyp-intro.md	853	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/intro-notes/StructureDefinition-mii-pr-medikation-medikationsliste-intro.md	1073	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/intro-notes/StructureDefinition-mii-ex-medikation-wirkstoffrelation-intro.md	493	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/intro-notes/StructureDefinition-mii-pr-medikation-medication-request-intro.md	1148	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/intro-notes/StructureDefinition-mii-pr-medikation-medication-administration-intro.md	895	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/version-history.md	4524	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/value-sets.md	1296	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
